,Solothurn,Basel-Landschaft,Schwyz,Aargau,Ticino,Schaffhausen,Uri,Freiburg,Luzern,Geneve,Zug,Jura,Obwalden,Thurgau,Glarus,Basel-Stadt,Appenzell-Ausserrhoden,Nidwalden,Zurich,Appenzell-Innerrhoden,Neuchatel,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-03-31,876411,702174,589020,1507706,638077,185612,150807,699749,966713,919831,420942,138096,94791,646227,198788,561881,152060,193718,2936854,40288.0,354958,2310884,580320,1454798,1854719,773032
2019-04-01,1201662,1071009,611729,2168309,904396,238698,121636,914194,1231910,1549531,579871,177621,97907,847989,164897,885030,182514,199372,4484913,35164.0,501111,3077712,529284,1733423,2559621,859466
2019-04-02,1256748,1111035,614676,2264692,903701,244861,113592,936900,1260009,1587914,590603,181219,99610,868742,159075,924515,189959,195328,4626031,37185.0,521434,3182860,506990,1759073,2633682,846847
2019-04-03,1266683,1080524,615845,2262837,877094,244208,116408,912958,1268630,1521341,593220,175526,97004,879990,164961,893563,192233,197157,4619588,37314.0,498945,3110796,500244,1786930,2541031,829886
2019-04-04,1228282,1068464,579322,2179297,845019,235272,95685,898374,1187777,1546040,577830,172014,84618,846248,139936,890226,177516,167874,4392579,32399.0,501639,3032255,472372,1679402,2495947,772348
2019-04-05,1259070,1106235,660869,2273650,962491,251516,149016,956621,1302071,1574013,595926,184613,103714,892710,189765,909908,187153,216855,4570194,35748.0,515180,3152591,586208,1839585,2690742,965088
2019-04-06,1028862,870373,592407,1902064,755675,224967,130928,801893,1129642,1174234,468036,152334,99639,769292,175907,687453,159310,201700,3623864,35494.0,427924,2586151,579348,1574151,2234889,881561
2019-04-07,777829,649809,482700,1377975,532101,170249,118684,555058,801936,826400,353272,109865,69480,564614,163681,498341,129464,148350,2682951,30836.0,265887,1797867,446450,1243893,1493270,575203
2019-04-08,1057031,965174,558131,1961942,839426,222393,115561,799895,1109673,1411219,527107,150444,83502,758746,145823,799472,158256,179243,3855417,30756.0,437254,2588017,468219,1493926,2264618,780195
2019-04-09,1044487,939393,540100,1934112,804954,216035,106661,788646,1087520,1402218,518697,149798,82710,745272,138948,784765,155057,172274,3980082,30996.0,438726,2598702,436952,1444899,2248065,776365
2019-04-10,1045167,933151,545445,1950964,809626,219885,109841,789848,1108788,1350108,521655,152632,82883,742104,141129,768321,154328,178856,4002198,30384.0,441192,2600119,449210,1443870,2223004,764695
2019-04-11,1053211,929639,532596,1938110,799267,219651,113277,767934,1073247,1321909,521025,150678,80553,735817,141370,772059,154116,173710,3934174,31719.0,438441,2518332,441212,1449077,2171161,731459
2019-04-12,1099609,972437,578430,2021591,842184,228074,143691,850753,1145736,1349035,538260,166008,88393,758733,165558,786401,156349,195073,4015288,32971.0,459633,2688378,509589,1564262,2327969,848094
2019-04-13,893658,772891,508257,1651659,696967,187582,141039,698112,980698,995453,423625,136704,76874,639516,150186,594175,131487,180561,3124360,29185.0,360810,2176195,486822,1332369,1868395,783249
2019-04-14,657294,501092,359037,1108162,499224,126233,119142,516942,645673,751246,277683,90697,55455,406445,121414,384439,91450,129945,2012573,22425.0,240135,1584071,337589,912263,1371546,568357
2019-04-15,1029342,897812,583803,1882181,824604,206704,138770,759653,1231088,1413851,550962,143684,93920,728942,149684,736051,153499,209543,4107634,30943.0,408487,2598129,548990,1476245,2271451,797652
2019-04-16,1164560,1061029,637197,2097035,938651,238416,128222,836192,1256247,1452602,561240,167138,101304,859415,164758,860201,185618,203841,4588226,36325.0,451685,2953278,528080,1752325,2287702,918938
2019-04-17,1269197,1088148,673411,2211917,1063734,259879,160761,963038,1350794,1524594,581503,187312,108409,903848,182217,888527,186186,228451,4698710,37682.0,517627,3233838,592438,1808434,2536477,998494
2019-04-18,1090206,900555,617953,1916783,932940,224602,158260,826023,1164300,1242138,524604,164885,97834,789578,188076,694788,158576,202539,3972789,32792.0,437063,2738665,589102,1633101,2188769,864494
2019-04-19,886925,681969,600277,1437945,1066441,203895,197384,702198,958366,865148,406177,142403,100067,662803,193907,501124,157927,213954,2700097,45738.0,335100,2210840,610936,1453304,1813370,1068507
2019-04-20,983937,775628,597832,1704328,891727,224586,156219,790362,1106624,941991,427671,156994,104797,774303,173482,582104,170865,223914,3168199,44895.0,419881,2681626,634437,1576884,2055070,942627
2019-04-21,852618,626432,550334,1383295,698702,190466,141711,660841,898233,706750,377587,136432,93833,655609,176698,436763,157462,197882,2462187,46896.0,325008,2200838,538529,1359869,1617782,727890
2019-04-22,894323,664749,572855,1433077,677623,190863,155304,743801,944407,766815,396658,136901,96284,675034,190476,482828,155460,200911,2508443,43958.0,361590,2253405,540631,1400427,1696379,810099
2019-04-23,1202263,1005995,616862,2060275,831724,231586,143819,844427,1206528,1282415,541404,166993,98848,858062,173132,819086,185154,208910,4039627,36806.0,459703,3081687,539325,1764998,2298728,816206
2019-04-24,1210855,1007135,624973,2089581,791136,237453,123854,844435,1201814,1269686,554672,168522,95871,886884,168615,827657,193352,199024,4142669,39309.0,466496,3113927,514048,1796699,2258614,785581
2019-04-25,1262442,1048578,628994,2172474,851447,245570,137708,875245,1234655,1332152,570363,175227,98952,902851,169068,875895,192260,209516,4231781,39180.0,477063,3186655,509001,1795453,2365210,800780
2019-04-26,1258324,1051767,622485,2171139,859707,240105,157848,906603,1224016,1365941,556585,180704,96600,880446,176130,867235,186866,209656,4078809,36621.0,479215,3229819,510656,1805765,2443369,851120
2019-04-27,1057528,839594,561385,1874904,844285,207076,168488,773518,1079546,1068783,459717,152003,84792,765020,167885,663904,165841,194905,3270523,36891.0,411914,2685877,482318,1594642,2058117,745214
2019-04-28,776853,606590,426751,1304657,665585,150719,149445,580607,764907,787023,341744,108200,63106,538440,135060,476563,121501,149198,2372686,28334.0,270013,1926552,378820,1154209,1477537,518188
