,Zurich,Aargau,Jura,Solothurn,Luzern,Appenzell-Auserrhoden,Basel-Stadt,Schwyz,Uri,Thurgau,Nidwalden,Basel-Landschaft,Zug,Freiburg,Glarus,Schaffhausen,Ticino,Obwalden,Appenzell-Innerrhoden,Neuchatel,Geneve,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-04-04,706703,327916,14729,251310,106820,17629,99347,79108,15244,97353,8658,114550,87693,80123,28083,29117,34524,6272,2256,45385,90184,415060,58612,187272,299602,85119
2019-04-05,676009,309458,15250,231667,108023,17991,94347,86258,18325,96332,10649,110153,85724,80071,33593,29080,38591,7810,2387,44605,88073,407709,68071,196781,304346,118847
2019-04-06,423193,199219,10390,153264,79328,14168,62754,65371,14186,70585,9104,72947,55611,54280,26803,21598,25394,6901,2389,31608,52134,297846,56617,150008,205667,103914
2019-04-07,335690,163926,8987,133941,61720,11526,55585,61830,15816,54692,6806,63665,46444,43968,27258,17195,22891,4965,2062,25039,46079,233302,52110,128627,147592,78847
2019-04-08,557260,261684,12424,197743,88677,14569,84327,67590,14503,79551,7829,97130,72869,69173,24637,24600,32930,5645,2046,37635,79542,333505,51996,153789,258562,92673
2019-04-09,592046,273145,12218,204202,90437,14161,81340,68725,13297,81015,7998,95703,76396,67983,24554,24901,31221,5914,2038,37952,75635,336797,49405,152907,253139,92938
2019-04-10,592620,275184,12362,204773,92015,14844,82590,68660,13219,81426,8066,97004,76679,65840,24376,25451,31472,5995,2025,37783,73067,335304,51705,153478,246651,92143
2019-04-11,599456,282487,12536,210887,90931,15024,83966,67793,13333,82671,7749,98073,75638,67367,24748,25404,30501,5758,2331,40231,75740,338238,50192,156742,252511,87335
2019-04-12,588835,281437,13609,211881,92295,15701,83715,75892,17511,84089,9062,98438,76483,73872,29158,25408,33980,6769,2288,40069,76272,359663,59429,169862,259888,111783
2019-04-13,361571,179829,8561,138628,69231,12034,56752,57115,15665,59476,7723,68842,51416,51281,22714,19037,25300,5502,1952,28160,45226,258697,51429,128411,170343,100363
2019-04-14,268698,152349,6492,128106,50371,9441,46385,49540,15944,44098,6115,53030,39231,43249,21333,13561,22524,4949,1646,23668,42211,226744,43753,102209,134711,80588
2019-04-15,612804,267990,10828,199974,102357,13935,80426,73094,15177,79896,13363,92977,79661,66797,26495,24357,31397,8815,2113,35615,78949,338781,58534,156225,251008,95946
2019-04-16,667329,290034,12227,217454,108172,17226,88251,78388,14262,91580,13339,102474,84116,69481,28098,27910,35010,9152,2541,38425,77641,370381,56475,176571,253102,98264
2019-04-17,687231,304766,13295,230596,110762,17229,93581,84381,17914,93943,14517,108477,85146,75543,30101,30282,40791,10349,2591,41689,80770,399421,62675,182907,270517,115533
2019-04-18,593126,254449,12554,194132,97606,15155,76313,81448,20577,80653,12957,87329,78092,63102,30903,25476,40907,8594,2333,36577,71550,345752,68855,170469,239241,106432
2019-04-19,354302,174158,10894,143625,77690,14917,56403,78859,27488,62932,14081,65762,59086,53884,27258,21760,45691,9854,3260,29737,52079,277487,64889,142628,189702,127350
2019-04-20,358126,166008,10131,132377,76565,15162,51031,65719,17652,68064,14336,59216,50791,53434,23739,22049,30888,10142,3255,30007,46354,281555,58376,142968,194526,119961
2019-04-21,299569,147992,9775,124858,65321,13738,45672,63017,17102,58503,12598,53326,46766,46340,23780,19729,25916,9046,2878,26849,41104,250784,52033,126703,152421,97756
2019-04-22,328391,174871,10670,146523,73184,13750,56632,80092,26478,62097,13038,64230,58364,58711,30192,20751,35784,9653,2892,36697,49786,278935,66256,142460,170153,102625
2019-04-23,588866,277190,12387,214076,100229,17372,86531,75314,16223,89693,12677,99296,76564,67858,27014,26960,32353,9093,2495,38157,72719,381183,56545,174895,238861,85995
2019-04-24,608638,283094,12290,218576,98453,18424,87703,75977,14632,94154,12450,101682,77668,69274,26907,27838,30251,8661,2693,39528,71216,384417,54405,181566,237983,79892
2019-04-25,628214,298523,13072,229615,102488,17701,92623,77478,14973,96304,13135,108580,80600,71870,27633,28983,30716,9026,2665,39738,74665,393219,55033,182281,251346,79900
2019-04-26,597465,280691,13555,219209,100336,17204,90374,78857,17993,91582,12817,103517,77617,72135,29961,27365,33833,9243,2421,39086,77414,392987,60845,183095,255589,92791
2019-04-27,391473,198986,10169,158387,81879,14274,65352,67218,21544,67190,11341,75229,57969,55316,23823,21097,33583,7747,2464,30515,48775,296771,54799,140740,186130,82961
2019-04-28,315885,159707,8456,131362,64333,11525,53960,62500,22698,52344,9433,60136,49760,47895,22639,16100,32745,6699,2251,25532,45104,239272,51460,116968,144565,68138
