date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2019-01-10,Zurich,4272760,2019,697487,3053633,521649,1215783,3056987
2019-01-10,Appenzell-Innerrhoden,31388,2019,2173,28291,937,6979,24422
2019-01-10,Neuchatel,473810,2019,40199,370531,63090,125117,348704
2019-01-10,Bern,2967763,2019,405018,2131559,431204,758994,2208789
2019-01-10,Graubunden,487747,2019,53474,362652,71644,98002,389770
2019-01-10,Sankt-Gallen,1566098,2019,186693,1035310,344113,385812,1180304
2019-01-10,Waadt,2373947,2019,270123,1602857,500987,611355,1762614
2019-01-10,Wallis,777072,2019,85774,568761,122561,160351,616745
2019-01-11,Solothurn,1214005,2019,225742,678092,310180,280424,933590
2019-01-11,Basel-Landschaft,1096089,2019,107365,762056,226679,273962,822138
2019-01-11,Schwyz,658690,2019,82776,389963,185964,135735,522968
2019-01-11,Aargau,2232889,2019,302812,1418281,511804,528587,1704311
2019-01-11,Ticino,875445,2019,33479,711134,130841,210968,664487
2019-01-11,Schaffhausen,238437,2019,28158,202835,7455,54798,183650
2019-01-11,Uri,125820,2019,14726,67061,44044,21766,104065
2019-01-11,Freiburg,922705,2019,79006,672097,171613,200276,722441
2019-01-11,Luzern,1267115,2019,107728,882970,276425,300898,966225
2019-01-11,Geneve,1556563,2019,83519,1352128,120925,446796,1109777
2019-01-11,Zug,601571,2019,84823,349648,167112,161878,439705
2019-01-11,Jura,176922,2019,14816,154271,7847,41989,134946
2019-01-11,Obwalden,101483,2019,8428,82140,10924,20268,81225
2019-01-11,Thurgau,846112,2019,99591,594716,151813,188126,657994
2019-01-11,Glarus,201269,2019,36102,80266,84911,35113,166167
2019-01-11,Basel-Stadt,900749,2019,90710,686083,123965,250393,650366
2019-01-11,Appenzell-Ausserrhoden,187793,2019,19123,157287,11394,40322,147482
2019-01-11,Nidwalden,203860,2019,13586,117223,73063,42371,161500
2019-01-11,Zurich,4568189,2019,691788,3288800,587609,1177189,3391009
2019-01-11,Appenzell-Innerrhoden,40232,2019,3014,35768,1459,7315,32926
2019-01-11,Neuchatel,503406,2019,42002,393313,68102,123605,379812
2019-01-11,Bern,3218906,2019,421310,2312990,484628,736770,2482160
2019-01-11,Graubunden,641892,2019,72379,460011,109525,109233,532682
2019-01-11,Sankt-Gallen,1855539,2019,214032,1196351,445178,398195,1457368
2019-01-11,Waadt,2577938,2019,290440,1719784,567734,610757,1967201
2019-01-11,Wallis,908425,2019,107433,644931,156080,171001,737445
2019-01-12,Solothurn,956803,2019,132570,546585,277658,79516,877298
2019-01-12,Basel-Landschaft,816336,2019,65194,561059,190091,71095,745251
2019-01-12,Schwyz,593557,2019,67309,362198,164061,46275,547294
2019-01-12,Aargau,1788917,2019,183453,1166466,439010,147040,1641889
2019-01-12,Ticino,676525,2019,22032,552542,101962,68684,607852
2019-01-12,Schaffhausen,186754,2019,18860,160714,7190,16872,169892
2019-01-12,Uri,118509,2019,13241,66489,38789,9594,108924
2019-01-12,Freiburg,771685,2019,51227,560824,159646,68631,703067
2019-01-12,Luzern,1054553,2019,74573,749717,230274,98128,956435
2019-01-12,Geneve,1090614,2019,44219,940937,105470,108128,982498
2019-01-12,Zug,444072,2019,50910,257241,135927,38422,405657
2019-01-12,Jura,142527,2019,9634,126263,6638,14846,127689
2019-01-12,Obwalden,97299,2019,6570,80117,10622,7869,89441
2019-01-12,Thurgau,689087,2019,64832,489124,135142,61465,627633
2019-01-12,Glarus,181554,2019,30396,73513,77656,13692,167873
2019-01-12,Basel-Stadt,632140,2019,54442,474192,103518,61449,570705
2019-01-12,Appenzell-Ausserrhoden,174384,2019,16891,146255,11250,14976,159420
2019-01-12,Nidwalden,191378,2019,11317,114832,65240,15324,176066
2019-01-12,Zurich,3433034,2019,406914,2518391,507742,312698,3120349
2019-01-12,Appenzell-Innerrhoden,42528,2019,2924,38130,1488,3253,39290
2019-01-12,Neuchatel,398431,2019,26315,314410,57715,37599,360842
2019-01-12,Bern,2689694,2019,297756,1953081,438880,233158,2456559
2019-01-12,Graubunden,624775,2019,61081,469697,94021,50862,573938
2019-01-12,Sankt-Gallen,1554179,2019,153556,1017509,383133,133933,1420265
2019-01-12,Waadt,2052406,2019,179012,1374850,498564,185320,1867108
2019-01-12,Wallis,901606,2019,100191,660325,141109,75894,825730
2019-01-13,Solothurn,625420,2019,102004,315217,208208,44288,581141
2019-01-13,Basel-Landschaft,524685,2019,48829,338446,137421,40395,484301
2019-01-13,Schwyz,401805,2019,55203,215595,131018,28977,372840
2019-01-13,Aargau,1108413,2019,134974,641180,332270,78303,1030121
2019-01-13,Ticino,486789,2019,20256,377946,88600,40839,445963
2019-01-13,Schaffhausen,115794,2019,12154,97293,6356,8994,106809
2019-01-13,Uri,81817,2019,12167,36548,33111,6365,75462
2019-01-13,Freiburg,501808,2019,37399,352220,112199,40434,461384
2019-01-13,Luzern,664246,2019,52255,449050,162951,52624,611632
2019-01-13,Geneve,744546,2019,39718,620854,83984,66687,677870
2019-01-13,Zug,293828,2019,38394,152770,102675,22087,271753
2019-01-13,Jura,91435,2019,7136,79628,4680,8047,83397
2019-01-13,Obwalden,57712,2019,4914,44764,8045,4510,53213
2019-01-13,Thurgau,432096,2019,44208,284156,103740,32398,399707
2019-01-13,Glarus,144596,2019,28663,44742,71200,10486,134120
2019-01-13,Basel-Stadt,400818,2019,42430,282720,75679,34950,365880
